stage,mode,optimize,smooth,angle_step,smoothing,sensitivity,fps,scenario,seed,first_arrival_ms,settle_ms,rms_error_deg,overshoot_yaw_deg,overshoot_pitch_deg,max_yaw_speed_deg_s,max_pitch_speed_deg_s,max_yaw_acceleration_deg_s2,max_pitch_acceleration_deg_s2,max_yaw_jerk_deg_s3,max_pitch_jerk_deg_s3,p95_yaw_acceleration_deg_s2,p95_pitch_acceleration_deg_s2
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260918,200.000,200.000,6.441316,6.300003,0.000000,930.000076,0.000000,13440.000916,0.000000,345600.067139,0.000000,3060.000610,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260919,200.000,200.000,6.429538,5.250008,0.000000,930.000076,0.000000,13440.000916,0.000000,354000.030518,0.000000,2639.999390,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260920,200.000,200.000,6.423762,4.650009,0.000000,930.000076,0.000000,13440.000916,0.000000,358800.018311,0.000000,2400.000000,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260921,200.000,200.000,6.437735,6.000008,0.000000,930.000076,0.000000,13440.000916,0.000000,348000.030518,0.000000,2939.999390,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260922,200.000,200.000,6.447012,6.750008,0.000000,930.000076,0.000000,13440.000916,0.000000,342000.030518,0.000000,3239.999390,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,pitch60,20260915,500.000,600.000,9.250240,0.000000,10.200005,0.000000,351.000061,0.000000,1860.000610,0.000000,68400.024414,0.000000,1800.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,pitch60,20260916,500.000,650.000,9.419191,0.000000,11.250000,0.000000,347.999992,0.000000,1859.999847,0.000000,67199.996948,0.000000,1679.997253
frame+packet,Lock,false,0.30,90,0.00,0.50,60,pitch60,20260917,500.000,650.000,9.258673,0.000000,10.350006,0.000000,351.000061,0.000000,1860.000610,0.000000,68400.024414,0.000000,1800.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,pitch60,20260918,250.000,600.000,8.803431,0.000000,10.949997,0.000000,326.999969,0.000000,2160.000038,0.000000,43200.000763,0.000000,1680.001831
frame+packet,Lock,false,0.30,90,0.00,0.50,60,pitch60,20260919,500.000,600.000,9.394465,0.000000,9.450005,0.000000,357.000008,0.000000,1860.000610,0.000000,74399.993896,0.000000,1800.000000
